eventID,opcode,subblock,COMP-4b.avg
1,1011,0,6.41
1,1011,1,49.95
2,1113,0,276961.00
2,1113,1,79655.00
3,1090,0,272110.40
3,1090,1,34628.30
3,1090,2,21317.03
4,1113,0,134.46
5,1148,0,8.06
5,1148,1,9.24
6,1113,0,205.06
6,1113,1,59045.67
6,1113,2,16976.62
7,1090,0,10.43
8,1148,0,7.00
8,1148,1,9.77
9,1090,0,21029.07
9,1090,1,23347.05
10,1113,0,125.15
11,1148,0,6.53
11,1148,1,8.79
12,1113,0,280543.00
12,1113,1,2099.90
12,1113,2,22182.00
12,1113,3,12858.75
13,1090,0,9.33
14,1148,0,6.33
14,1148,1,9.84
15,1004,0,82477.11
15,1004,1,75336.75
16,1010,0,8.78
17,1102,0,586.16
17,1102,1,5.45
17,1102,2,186.01
18,1113,0,681.00
18,1113,1,146.94
18,1113,2,59.92
19,1102,0,603.10
19,1102,1,8.55
19,1102,2,121.88
20,1113,0,82.35
21,1113,0,222772.12
21,1113,1,146.90
21,1113,2,20.66
22,1090,0,221934.39
22,1090,1,6415.04
22,1090,2,9534.26
23,1113,0,304.01
24,1148,0,6.14
24,1148,1,7.56
25,1113,0,230293.00
25,1113,1,1595.00
25,1113,2,26958.00
25,1113,3,13013.08
26,1090,0,12883.52
26,1090,1,15234.59
27,1148,0,919.00
27,1148,1,7.70
28,1113,0,401.76
28,1113,1,5416.61
29,1090,0,9.60
30,1148,0,6.60
30,1148,1,9.03
31,1004,0,72501.47
31,1004,1,72309.93
32,1010,0,9.63
33,1102,0,568.84
33,1102,1,5.77
33,1102,2,168.75
33,1102,3,75173.79
34,1113,0,858.00
34,1113,1,207.98
34,1113,2,89.32
34,1113,3,73762.60
35,1102,0,584.60
35,1102,1,14.65
35,1102,2,154.27
35,1102,3,81312.98
36,1113,0,85.48
37,1113,0,149.43
37,1113,1,11.16
38,1090,0,5232.92
38,1090,1,10168.02
39,1148,0,5.93
39,1148,1,7.18
40,1113,0,316.54
40,1113,1,91.26
40,1113,2,154.82
41,1148,0,33.40
41,1148,1,6.85
42,1102,0,290.90
43,1113,0,976.33
43,1113,1,509.60
43,1113,2,15491.82
44,1090,0,12509.03
44,1090,1,15998.50
45,1148,0,32.48
45,1148,1,7.39
46,1113,0,182.57
46,1113,1,93.24
46,1113,2,147.47
47,1148,0,21.99
47,1148,1,7.96
48,1102,0,6.03
48,1102,1,516.64
48,1102,2,74292.84
49,1113,0,156.12
49,1113,1,97.44
49,1113,2,501.53
50,1102,0,12.36
50,1102,1,165.98
50,1102,2,78431.45
51,1113,0,141.00
51,1113,1,13.36
52,1004,0,10664.00
52,1004,1,5830.47
53,1113,0,874.00
54,1090,0,744.89
54,1090,1,3953.89
54,1090,2,8635.47
55,1113,0,96.04
56,1148,0,5.83
56,1148,1,7.90
57,1113,0,735.00
57,1113,1,5272.00
57,1113,2,13137.08
58,1090,0,9545.93
58,1090,1,11106.48
59,1148,0,7.00
59,1148,1,7.53
60,1113,0,75.00
60,1113,1,6847.75
61,1090,0,9.00
62,1148,0,6.88
62,1148,1,8.05
63,1004,0,11888.18
63,1004,1,87503.89
63,1004,2,73806.32
64,1090,0,43.42
65,1148,0,7.18
66,1113,0,41.75
66,1113,1,7.58
67,1090,0,5.82
67,1090,1,6.88
68,1148,0,5.75
69,1113,0,41.00
69,1113,1,7.71
70,1113,0,6.50
70,1113,1,7.00
70,1113,2,6.65
71,1004,0,8.79
71,1004,1,10.33
72,1090,0,59.00
73,1148,0,5.93
74,1113,0,56.33
74,1113,1,8.85
75,1004,0,34.20
75,1004,1,21.60
75,1004,2,23.00
76,1090,0,83.20
77,1148,0,6.67
78,1113,0,75.67
78,1113,1,9.77
79,1004,0,33.41
79,1004,1,20.60
79,1004,2,22.00
80,1045,0,6035.97
