eventID,opcode,subblock,COMP-4c.avg
1,1011,0,16.09
1,1011,1,26.37
2,1113,0,163392.62
2,1113,1,50305.00
3,1090,0,160773.04
3,1090,1,16973.43
3,1090,2,13864.31
4,1113,0,146.31
5,1148,0,15.28
5,1148,1,15.00
6,1113,0,135.51
6,1113,1,30453.00
6,1113,2,8154.14
7,1090,0,14.00
8,1148,0,14.43
8,1148,1,15.00
9,1090,0,17803.00
9,1090,1,15465.73
10,1113,0,145.77
11,1148,0,14.35
11,1148,1,15.03
12,1113,0,164444.00
12,1113,1,130.98
12,1113,2,22187.00
12,1113,3,9536.00
13,1090,0,14.92
14,1148,0,15.17
14,1148,1,16.05
15,1004,0,45686.44
15,1004,1,48947.88
16,1010,0,14.74
17,1102,0,3073.52
17,1102,1,15.14
17,1102,2,321.18
18,1113,0,3388.00
18,1113,1,282.51
18,1113,2,56.24
19,1102,0,3144.53
19,1102,1,27.66
19,1102,2,318.72
20,1113,0,281.67
21,1113,0,143439.50
21,1113,1,286.93
21,1113,2,24.03
22,1090,0,141606.93
22,1090,1,5278.48
22,1090,2,7355.03
23,1113,0,135.96
24,1148,0,15.00
24,1148,1,14.84
25,1113,0,143749.00
25,1113,1,6644.00
25,1113,2,22187.00
25,1113,3,10606.88
26,1090,0,9899.11
26,1090,1,11328.29
27,1148,0,14.24
27,1148,1,14.75
28,1113,0,130.98
28,1113,1,4310.61
29,1090,0,14.00
30,1148,0,15.00
30,1148,1,15.97
31,1004,0,44405.82
31,1004,1,47536.32
32,1010,0,22.49
33,1102,0,3069.24
33,1102,1,15.04
33,1102,2,324.87
33,1102,3,48500.64
34,1113,0,3388.00
34,1113,1,284.35
34,1113,2,56.32
34,1113,3,49020.87
35,1102,0,3140.35
35,1102,1,27.33
35,1102,2,323.19
35,1102,3,49685.11
36,1113,0,285.53
37,1113,0,287.07
37,1113,1,17.73
38,1090,0,5344.16
38,1090,1,7384.33
39,1148,0,14.79
39,1148,1,14.77
40,1113,0,135.97
40,1113,1,274.02
40,1113,2,251.96
41,1148,0,14.91
41,1148,1,14.24
42,1102,0,442.34
43,1113,0,2568.90
43,1113,1,354.27
43,1113,2,12013.22
44,1090,0,9424.00
44,1090,1,11562.32
45,1148,0,14.27
45,1148,1,14.62
46,1113,0,131.07
46,1113,1,280.74
46,1113,2,239.84
47,1148,0,14.81
47,1148,1,15.91
48,1102,0,15.06
48,1102,1,594.66
48,1102,2,48641.26
49,1113,0,282.29
49,1113,1,56.31
49,1113,2,442.73
50,1102,0,27.29
50,1102,1,325.98
50,1102,2,49598.13
51,1113,0,287.08
51,1113,1,20.78
52,1004,0,6179.00
52,1004,1,5920.86
53,1113,0,3147.50
54,1090,0,2900.54
54,1090,1,4670.89
54,1090,2,7325.90
55,1113,0,135.93
56,1148,0,14.67
56,1148,1,14.34
57,1113,0,3263.00
57,1113,1,22187.00
57,1113,2,11099.23
58,1090,0,9546.07
58,1090,1,11104.96
59,1148,0,14.22
59,1148,1,14.69
60,1113,0,130.96
60,1113,1,4141.75
61,1090,0,14.00
62,1148,0,14.62
62,1148,1,15.95
63,1004,0,12075.43
63,1004,1,45679.44
63,1004,2,48945.70
64,1090,0,52.04
65,1148,0,16.19
66,1113,0,50.88
66,1113,1,17.00
67,1090,0,16.00
67,1090,1,16.75
68,1148,0,16.00
69,1113,0,50.00
69,1113,1,17.00
70,1113,0,17.00
70,1113,1,17.00
70,1113,2,17.00
71,1004,0,23.74
71,1004,1,23.89
72,1090,0,102.53
73,1148,0,14.87
74,1113,0,100.00
74,1113,1,18.00
75,1004,0,94.04
75,1004,1,75.60
75,1004,2,77.00
76,1090,0,117.40
77,1148,0,16.00
78,1113,0,110.00
78,1113,1,19.00
79,1004,0,92.27
79,1004,1,73.40
79,1004,2,75.00
80,1045,0,374.91
